champ	slot	state	cc	ver_same	vers	casting	range
DemonChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
DokkaebiChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
DokkaebiChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
DokkaebiChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
DokkaebiChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Direction	range=0
DruidChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
DruidChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
DruidChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=120000
DruidChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
DualBladerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
DualBladerChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Direction	range=0
DualBladerChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
DualBladerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
EnchanterChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
EnchanterChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
EnchanterChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
EnchanterChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ExecutionerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ExecutionerChampionInfo	skill	OK	cc=1	ver_same=true	vers=1,1,1,1,1	casting=Direction	range=0
ExecutionerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ExecutionerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
ExorcistChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ExorcistChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ExorcistChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
ExorcistChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
FighterChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
FighterChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
FighterChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
FighterChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
GamblerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
GamblerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
GamblerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
GamblerChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Direction	range=0
GhostChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
GhostChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
GhostChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
GhostChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=1
GuardianSpiritChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
GuardianSpiritChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
GuardianSpiritChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
GuardianSpiritChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=None	range=0
GunnerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
GunnerChampionInfo	skill	NO_EFFECT	-	-	-	-	-
GunnerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
GunnerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
HammererChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
HammererChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
HammererChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
HammererChampionInfo	ult	PANIC_EFFECT
HitmanChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
HitmanChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
HitmanChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
HitmanChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
HunterChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
HunterChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
HunterChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
HunterChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
IceMageChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
IceMageChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
IceMageChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
IceMageChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
IllusionistChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
IllusionistChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
IllusionistChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
IllusionistChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
InquisitorChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
InquisitorChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
InquisitorChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
InquisitorChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
JiangshiChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
JiangshiChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
JiangshiChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
JiangshiChampionInfo	ult	PANIC_EFFECT
KnightChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
KnightChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
KnightChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
KnightChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
LancerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
LancerChampionInfo	skill	OK	cc=1	ver_same=true	vers=1,1,1,1,1	casting=Targeting	range=0
LancerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
LancerChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
LightningMageChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
LightningMageChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
LightningMageChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
LightningMageChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
MagicKnightChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
MagicKnightChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
MagicKnightChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
MagicKnightChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
MonkChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
MonkChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
MonkChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
MonkChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
NecromancerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
NecromancerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
NecromancerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
NecromancerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
NinjaChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
NinjaChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
NinjaChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
NinjaChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
OgreChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
OgreChampionInfo	skill	NO_EFFECT	-	-	-	-	-
OgreChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
OgreChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
PlagueDoctorChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PlagueDoctorChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PlagueDoctorChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PlagueDoctorChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PoisonDartHunterChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PoisonDartHunterChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
PoisonDartHunterChampionInfo	skill2	NO_EFFECT	-	-	-	-	-
PoisonDartHunterChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=10
PoleWarriorChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PoleWarriorChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PoleWarriorChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
PoleWarriorChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
PriestChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PriestChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
PriestChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PriestChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PrisonerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PrisonerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
PrisonerChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
PrisonerChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
PyromancerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PyromancerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
PyromancerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
PyromancerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
PythonessChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PythonessChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PythonessChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
PythonessChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
ShadowmancerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ShadowmancerChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Position	range=0
ShadowmancerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ShadowmancerChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
ShieldBearerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ShieldBearerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
ShieldBearerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=1
ShieldBearerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
SiegeBreakerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SiegeBreakerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SiegeBreakerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
SiegeBreakerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=1
SoldierChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SoldierChampionInfo	skill	NO_EFFECT	-	-	-	-	-
SoldierChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SoldierChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
SpiritCallerChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SpiritCallerChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SpiritCallerChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SpiritCallerChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=None	range=0
SwordmanChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SwordmanChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
SwordmanChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
SwordmanChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
TaoistChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
TaoistChampionInfo	skill	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
TaoistChampionInfo	skill2	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
TaoistChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Direction	range=0
VampireChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
VampireChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
VampireChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
VampireChampionInfo	ult	PANIC_EFFECT
VoodooShamanChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
VoodooShamanChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
VoodooShamanChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
VoodooShamanChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
WerewolfChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WerewolfChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WerewolfChampionInfo	skill2	OK	cc=1	ver_same=true	vers=1,1,1,1,1	casting=Position	range=0
WerewolfChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WhipMasterChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WhipMasterChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WhipMasterChampionInfo	skill2	OK	cc=1	ver_same=true	vers=1,1,1,1,1	casting=Position	range=0
WhipMasterChampionInfo	ult	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WhiteMageChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WhiteMageChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
WhiteMageChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
WhiteMageChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Direction	range=0
WindMageChampionInfo	attack	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Targeting	range=0
WindMageChampionInfo	skill	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Position	range=0
WindMageChampionInfo	skill2	OK	cc=None	ver_same=true	vers=None,None,None,None,None	casting=Direction	range=0
WindMageChampionInfo	ult	OK	cc=0	ver_same=true	vers=0,0,0,0,0	casting=Targeting	range=0
