champ	t0	Top	x=15000	y=913000	is_top_side=true	is_bottom_side=false
bush	lead=0	line=Mid	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 4, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Mid	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 4, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 21, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 21, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 21, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 21, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 21, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 9, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 9, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 9, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 9, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=0	line=Bottom	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 9, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Top	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Mid	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=1	line=Bottom	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Top	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Mid	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 15, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=2	line=Bottom	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 20, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 3, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Top	team=1	pos=Support	GANKER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 6, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=0	pos=Top	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=0	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=0	pos=Mid	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=0	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=0	pos=Support	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=1	pos=Top	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=1	pos=Jungle	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=1	pos=Mid	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
bush	lead=3	line=Mid	team=1	pos=Bottom	GANKER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })	COVER=Hide(HideSubPlan { bush: 11, out_line: Outline, check_move: false, enemy_spotted_me: false })
